# x_m,y_m,w_tr_right_m,w_tr_left_m
22.4000,-19.7000,0.0500,0.5500
22.9000,-19.7000,0.3500,0.0500
22.4000,-19.7500,0.4000,0.0500
22.9000,-19.8000,0.3500,0.0500
22.4000,-19.8500,0.4000,0.0500
22.9000,-19.9500,0.3500,0.0500
22.4000,-20.0500,0.4000,0.0500
22.9000,-20.1000,0.3500,0.0500
22.4000,-20.2000,0.4000,0.0500
22.9000,-20.3000,0.0500,0.0500
23.1500,-20.7500,0.3500,0.0500
22.7000,-21.0500,0.3500,0.0500
23.2000,-21.2500,0.1000,0.2500
23.7000,-21.2500,0.1000,0.3000
24.1500,-21.5000,0.1000,0.2000
24.6000,-21.8000,0.1500,0.4000
25.1000,-21.8000,0.1500,0.4000
25.6000,-21.8000,0.1500,0.4000
26.1000,-21.8000,0.1500,0.4000
26.6000,-21.8000,0.1500,0.4000
27.1000,-21.8000,0.1500,0.4000
27.6000,-21.8000,0.1500,0.4000
28.1000,-21.8000,0.1500,0.4000
28.6000,-21.8000,0.1500,0.4000
29.1000,-21.8000,0.0500,0.3500
28.6000,-21.9000,0.4000,0.1500
28.1000,-21.9000,0.4000,0.1500
27.6000,-21.9000,0.4000,0.1500
27.1000,-21.9000,0.4000,0.1500
26.6000,-21.9000,0.4000,0.1500
26.1000,-21.9000,0.4000,0.1500
